abut tuba
ace ceca
ado coda
ado soda
aft fa
agar raga
ago toga
ago yoga
ah aha
ah ha
aha aha
aha ha
aide media
air aria
ajar raja
alb la
ale la
ale vela
alibi la
all la
allude medulla
alp la
am edema
am enema
am ma
am mamma
am momma
amen enema
ammo comma
ammo momma
amoral aroma
amp ma
animal lamina
anode dona
any myna
ape pa
apse spa
apt pa
are era
are sera
area era
ark okra
at eta
ate beta
ate eta
ate feta
ate zeta
avid diva
avow ova
aye ya
babe kebab
bacilli cab
back cab
bad dab
bade dab
bag gab
bald lab
bale lab
balk lab
ball lab
balm lab
balsa slab
ban nab
banana nab
band nab
bane nab
bang nab
bank nab
bar crab
bar drab
bar grab
bard drab
barge grab
bat stab
bat tab
bate tab
bath tab
bats stab
bats tab
be deb
be web
bed deb
bi bib
bi fib
bi jib
bi lib
bi nib
bi rib
bib bib
bile lib
bilge glib
bilk lib
bill lib
bin nib
bind nib
birch crib
bird rib
blab alb
bladed alb
blah alb
bob bob
bock cob
bog gob
bogy gob
bola lob
bold lob
bole lob
boll lob
bolt lob
bomb mob
boo boob
boob boob
booboo boob
booby boob
bore rob
born rob
bosh sob
boss sob
bra barb
bra garb
brag garb
breve verb
bro orb
brow orb
bub bub
bubo bub
buck cub
bud dub
bun nub
bun snub
bung nub
bunk nub
buns nub
buns snub
bunt nub
bur drub
bur grub
bur rub
burg grub
burg rub
burgh grub
burl rub
burn rub
burp rub
burr rub
bursitis rub
bury rub
bus sub
bush sub
buss sub
busses sub
bust sub
busy sub
but stub
but tub
butt tub
calf lac
calk lac
call lac
calm lac
casaba sac
case sac
cash sac
cask sac
cast sac
cigar tragic
cite mimetic
cite tic
city tic
civic civic
civics civic
cod doc
coda doc
code doc
crab arc
crag arc
cram arc
crane narc
crank narc
crap arc
crass arc
craw arc
dab ad
dab bad
dace cad
dad ad
dad dad
dado dad
daft fad
dairy myriad
dale lad
dam ad
dam mad
dame mad
damn mad
damp mad
dare rad
darer ad
dark rad
darn rad
dart rad
dash sad
data tad
date tad
dawn wad
day ad
deb abed
deb bed
deb ed
debar abed
debt bed
debut tubed
decided iced
deed deed
deem meed
deep speed
deer breed
deer creed
deer greed
deer reed
def ed
def fed
deft fed
defy fed
degas aged
delete led
delft fled
deli led
deli oiled
deli piled
dell appalled
dell ed
dell led
demo domed
den ed
derby bred
dessert stressed
dew awed
dew ed
dew wed
dewy wed
dial aid
dial laid
dial plaid
diaper prepaid
diaper repaid
diary raid
dibs bid
did did
did id
dido did
die id
dig id
dike kid
dill id
dill lid
dim amid
dim id
dim mid
dime mid
dimity timid
din id
dip id
dire rid
dirge grid
dirk rid
dirt rid
dis id
diva avid
divan avid
do bod
do cod
do god
do hod
do mod
do nod
do pod
do rod
do sod
doc cod
dock cod
dog god
doge god
dome mod
don nod
dona nod
done nod
dong nod
doom mood
door brood
door rood
dopa pod
dope pod
dopy pod
dork rod
dorm rod
dory rod
dose sod
dost sod
drab bard
draw award
draw sward
draw ward
drawer reward
drawers reward
drawl ward
drawn inward
drawn onward
drawn ward
dray yard
droll lord
drown word
drowse sword
drowsy sword
dual laud
dub bud
duck cud
duct cud
dud dud
dude dud
duds dud
due feud
duh thud
dumb mud
dump mud
duo loud
dwell lewd
dwelt lewd
ear brae
ebb abbe
ebb be
ed ode
edit noontide
edit tide
eel flee
eel glee
eel lee
egad adage
egad age
ego doge
ego loge
egress serge
eh cache
eh he
eh she
eh teethe
eh the
eh tithe
eke eke
elan ale
elate tale
elite tile
elk cackle
elk cockle
elope pole
em me
emir crime
emir grime
emir prime
emir rime
emit noontime
emit time
emote tome
emu fume
emu me
